B0252.8	NM_001038234
B0261.1	NM_059152
B0261.2	NM_059148
B0261.2	NM_059151
B0261.4	NM_001047167
B0261.4	NM_001047168
B0261.5	NM_059149
B0261.6	NM_001047169
B0261.6	NM_001047170
B0261.7	NM_059153
B0261.8	NM_001025797
B0272.1	NM_077184
B0272.2	NM_077185
B0272.3	NM_077183
B0272.4	NM_077182
B0273.1	NM_068420
B0273.2	NM_068419
B0273.3	NM_068418
B0273.4	NM_068421
B0273.4	NM_068422
B0280.10	NM_066157
B0280.11	NM_066159
B0280.12	NM_001025942
B0280.12	NM_001025943
B0280.13	NM_171181
B0280.17	NM_001047371
B0280.1	NM_066158
B0280.1	NM_171183
B0280.2	NM_066156
B0280.3	NM_066155
B0280.4	NM_066151
B0280.5	NM_066150
B0280.7	NM_066152
B0280.8	NM_066153
B0280.9	NM_066154
B0281.1	NM_061834
B0281.3	NM_061831
B0281.4	NM_061828
B0281.5	NM_001129101
B0281.5	NM_061829
B0281.6	NM_061830
B0281.8	NM_061833
B0284.1	NM_065481
B0284.2	NM_065483
B0284.3	NM_065482
B0284.4	NM_065484
B0285.10	NM_065480
B0285.1	NM_065472
B0285.3	NM_065473
B0285.4	NM_065474
B0285.5	NM_065475
B0285.6	NM_065476
B0285.7	NM_065477
B0285.8	NM_065478
B0285.9	NM_065479
B0286.1	NM_062375
B0286.2	NM_001047259
B0286.2	NM_001047260
B0286.3	NM_062370
B0286.4	NM_001047261
B0286.4	NM_062371
B0286.4	NM_062372
B0286.4	NM_062373
B0286.5	NM_062374
B0286.6	NM_001026720
B0294.1	NM_075947
B0294.3	NM_075945
B0302.1	NM_078382
B0302.1	NM_078383
B0302.1	NM_182445
B0302.2	NM_078381
B0302.4	NM_078380
B0302.5	NM_078384
B0303.11	NM_066520
B0303.14	NM_066521
B0303.15	NM_066522
B0303.16	NM_001047372
B0303.2	NM_066513
B0303.3	NM_066514
B0303.4	NM_066515
B0303.7	NM_001129199
B0303.7	NM_066517
B0303.8	NM_066518
B0303.9	NM_066519
B0304.1	NM_001026721
B0304.1	NM_001026722
B0304.1	NM_062397
B0304.2	NM_062399
B0304.3	NM_062396
B0304.4	NM_062398
B0304.5	NM_062400
B0304.6	NM_062401
